epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.9186,2.59149,3.99941,1.57341,0.01774,0.66193,0.12452,0.06628,1.52087,3.6348,1.06654,0.000326667,0.000326667,0.000326667
2,46.5011,1.60948,2.2643,1.1015,0.60652,0.36872,0.50255,0.27997,1.36293,2.39135,1.02887,0.00063822,0.00063822,0.00063822
3,64.3087,1.50955,1.7838,1.06688,0.63792,0.5897,0.62165,0.24027,1.92205,1.8536,1.25025,0.000927773,0.000927773,0.000927773
4,81.5041,1.44544,1.55249,1.04472,0.70297,0.58016,0.65156,0.29626,1.66565,1.82795,1.15456,0.000901,0.000901,0.000901
5,98.9382,1.38353,1.36809,1.02067,0.86092,0.79414,0.89656,0.58933,1.11609,0.98483,0.95689,0.000868,0.000868,0.000868
6,117.078,1.34467,1.24458,1.00977,0.88314,0.81566,0.90653,0.52416,1.30563,1.06151,1.00109,0.000835,0.000835,0.000835
7,135.166,1.29123,1.15525,0.99507,0.87592,0.81743,0.91104,0.51633,1.35207,1.02047,1.01855,0.000802,0.000802,0.000802
8,152.492,1.27082,1.13182,0.99143,0.91687,0.85803,0.94254,0.57333,1.22049,0.92887,0.98002,0.000769,0.000769,0.000769
9,169.743,1.28154,1.10013,0.98863,0.90314,0.88031,0.94473,0.65628,1.0147,0.85079,0.9355,0.000736,0.000736,0.000736
10,187.153,1.17902,0.97875,0.96481,0.93052,0.88538,0.95775,0.6725,0.98815,0.76153,0.93035,0.000703,0.000703,0.000703
11,207.972,1.19362,0.96805,0.96216,0.9122,0.88484,0.94459,0.56545,1.28441,0.81949,1.00417,0.00067,0.00067,0.00067
12,225.347,1.22762,0.96804,0.96974,0.91998,0.89688,0.95684,0.6575,1.04276,0.75117,0.93006,0.000637,0.000637,0.000637
13,242.765,1.16828,0.90369,0.95091,0.93904,0.89618,0.96009,0.60424,1.19387,0.74574,0.96579,0.000604,0.000604,0.000604
14,260.077,1.15152,0.87288,0.95117,0.95358,0.91185,0.97226,0.71538,0.90296,0.63226,0.89892,0.000571,0.000571,0.000571
15,278.708,1.12119,0.82848,0.94131,0.93783,0.91609,0.97135,0.61923,1.24393,0.71057,0.99047,0.000538,0.000538,0.000538
16,296.199,1.14103,0.82803,0.94987,0.93966,0.90403,0.95647,0.48067,1.62109,0.79186,1.08079,0.000505,0.000505,0.000505
17,313.482,1.11406,0.8213,0.94297,0.92705,0.91014,0.96478,0.59208,1.23046,0.70255,0.98204,0.000472,0.000472,0.000472
18,330.663,1.08632,0.79455,0.94109,0.94969,0.92284,0.97509,0.70806,0.94535,0.60469,0.91101,0.000439,0.000439,0.000439
19,348.142,1.07702,0.77441,0.93583,0.95913,0.9429,0.98031,0.69288,1.01017,0.60444,0.92334,0.000406,0.000406,0.000406
